gat_no,village,scene_acquisition_date,observation_latency_days,cloud_coverage_pct,crop_age_days,stalk_maturity_gradient,ndvi,ndre,ndwi,lswi,evi,ndvi_max,ndvi_min,ndvi_amplitude,clear_scenes,sat_temp_celsius,sat_solar_radiation_kwh_m2,sat_humidity_pct
10291,Umapur,2026-09-08,7,3.2,309,0.763,0.749,0.436,0.262,0.312,0.614,0.75,0.25,0.5,14,28.5,5.4,65.0
9063,Pohlachivadi,2026-09-08,7,3.5,318,0.713,0.783,0.492,0.189,0.239,0.642,0.783,0.25,0.533,14,28.5,5.4,65.0
3681,Mirgaon,2026-09-08,7,2.4,318,0.804,0.752,0.468,0.231,0.281,0.617,0.752,0.25,0.502,14,28.5,5.4,65.0
24884,Dhadrav,2026-09-08,7,3.8,318,0.793,0.763,0.494,0.259,0.309,0.626,0.763,0.25,0.513,14,28.5,5.4,65.0
4748,Gevrai,2026-09-08,7,0.6,306,0.717,0.694,0.415,0.235,0.285,0.569,0.75,0.25,0.5,14,28.5,5.4,65.0
2716,Borgaon,2026-09-08,7,0.6,309,0.679,0.82,0.404,0.251,0.301,0.672,0.82,0.25,0.57,14,28.5,5.4,65.0
23314,Hatgaon,2026-09-08,7,1.3,311,0.766,0.704,0.45,0.277,0.327,0.578,0.75,0.25,0.5,14,28.5,5.4,65.0
24632,Jadidjawala,2026-09-08,7,2.5,314,0.727,0.711,0.466,0.231,0.281,0.583,0.75,0.25,0.5,14,28.5,5.4,65.0
27086,Tapelimagao,2026-09-08,7,1.7,318,0.782,0.795,0.485,0.23,0.28,0.652,0.795,0.25,0.545,14,28.5,5.4,65.0
10863,Pategaon,2026-09-08,7,0.6,304,0.754,0.714,0.486,0.206,0.256,0.585,0.75,0.25,0.5,14,28.5,5.4,65.0
22006,Saygaon,2026-09-08,7,1.4,309,0.744,0.709,0.51,0.22,0.27,0.581,0.75,0.25,0.5,14,28.5,5.4,65.0
5235,Takli Ambad,2026-09-08,7,4.0,308,0.806,0.811,0.472,0.192,0.242,0.665,0.811,0.25,0.561,14,28.5,5.4,65.0
122,Navgaon,2026-09-08,7,1.4,318,0.85,0.755,0.51,0.19,0.24,0.619,0.755,0.25,0.505,14,28.5,5.4,65.0
8158,Bhatkudgaon,2026-09-08,7,2.3,304,0.799,0.791,0.439,0.243,0.293,0.648,0.791,0.25,0.541,14,28.5,5.4,65.0
4207,Churmapuri,2026-09-08,7,2.1,315,0.755,0.739,0.432,0.191,0.241,0.606,0.75,0.25,0.5,14,28.5,5.4,65.0
16289,Dhakalgaon,2026-09-08,7,1.9,304,0.767,0.805,0.417,0.217,0.267,0.66,0.805,0.25,0.555,14,28.5,5.4,65.0
23031,Jogaladevi,2026-09-08,7,1.1,289,0.805,0.742,0.53,0.242,0.292,0.609,0.75,0.25,0.5,14,28.5,5.4,65.0
188,Khadegaon,2026-09-08,7,4.0,304,0.741,0.748,0.442,0.232,0.282,0.613,0.75,0.25,0.5,14,28.5,5.4,65.0
5459,Shirsagaon,2026-09-08,7,2.5,307,0.85,0.664,0.498,0.212,0.262,0.545,0.75,0.25,0.5,14,28.5,5.4,65.0
2663,Ghogegaon,2026-09-08,7,0.8,305,0.729,0.734,0.478,0.238,0.288,0.602,0.75,0.25,0.5,14,28.5,5.4,65.0
3989,Borgaon,2026-09-08,7,3.1,309,0.742,0.775,0.446,0.211,0.261,0.636,0.775,0.25,0.525,14,28.5,5.4,65.0
25551,Vadala,2026-09-08,7,1.5,304,0.791,0.776,0.469,0.254,0.304,0.636,0.776,0.25,0.526,14,28.5,5.4,65.0
10382,Gulanj,2026-09-08,7,3.4,304,0.699,0.762,0.439,0.176,0.226,0.625,0.762,0.25,0.512,14,28.5,5.4,65.0
2832,Kolhar,2026-09-08,7,3.3,312,0.815,0.762,0.454,0.223,0.273,0.625,0.762,0.25,0.512,14,28.5,5.4,65.0
17343,Balhegaon,2026-09-08,7,3.6,311,0.807,0.724,0.468,0.23,0.28,0.593,0.75,0.25,0.5,14,28.5,5.4,65.0
18586,Chopdyachivadi,2026-09-08,7,4.0,306,0.753,0.767,0.451,0.24,0.29,0.629,0.767,0.25,0.517,14,28.5,5.4,65.0
7444,Ghogegaon,2026-09-08,7,1.7,310,0.738,0.816,0.492,0.176,0.226,0.67,0.816,0.25,0.566,14,28.5,5.4,65.0
1822,Joharpur,2026-09-08,7,0.8,295,0.791,0.786,0.484,0.249,0.299,0.645,0.786,0.25,0.536,14,28.5,5.4,65.0
492,Akhegaon,2026-09-08,7,3.8,306,0.849,0.712,0.46,0.167,0.217,0.584,0.75,0.25,0.5,14,28.5,5.4,65.0
20500,Erandgaon,2026-09-08,7,2.8,309,0.732,0.707,0.45,0.242,0.292,0.58,0.75,0.25,0.5,14,28.5,5.4,65.0
268,Talani,2026-09-08,7,0.8,309,0.804,0.723,0.466,0.247,0.297,0.593,0.75,0.25,0.5,14,28.5,5.4,65.0
7137,Shevgaon,2026-09-08,7,3.4,306,0.749,0.682,0.418,0.208,0.258,0.559,0.75,0.25,0.5,14,28.5,5.4,65.0
1183,Chankavadi,2026-09-08,7,2.2,306,0.76,0.659,0.507,0.221,0.271,0.54,0.75,0.25,0.5,14,28.5,5.4,65.0
7231,Telwadi,2026-09-08,7,4.1,306,0.837,0.753,0.435,0.246,0.296,0.617,0.753,0.25,0.503,14,28.5,5.4,65.0
4864,Mohammadpur,2026-09-08,7,4.1,304,0.783,0.682,0.435,0.22,0.27,0.559,0.75,0.25,0.5,14,28.5,5.4,65.0
1031,Susare,2026-09-08,7,4.1,289,0.721,0.749,0.46,0.233,0.283,0.614,0.75,0.25,0.5,14,28.5,5.4,65.0
379,Varur,2026-09-08,7,2.8,304,0.85,0.82,0.472,0.217,0.267,0.672,0.82,0.25,0.57,14,28.5,5.4,65.0
