crop_age_days,sat_ndvi,sat_ndre,sat_ndwi,sat_evi,sat_temp_celsius,sat_diurnal_temp_range,sat_solar_radiation_kwh_m2,sat_precipitation_mm,gdd,hydro_thermal_index,factory_sugar_recovery_pct
239.4,0.6776,0.3827,0.5739,0.5438,33.5,7.3,9.18,2.99,514.4,16.75,11.6
476.6,0.8168,0.4214,0.6517,0.8632,22.5,8.2,7.66,0.59,501.7,39.54,12.85
420.8,0.7483,0.3275,0.3297,0.6945,27.1,15.0,7.84,0.93,637.1,60.66,12.85
271.7,0.8676,0.401,0.5961,0.9196,29.6,13.8,8.8,0.8,477.9,67.16,12.85
221.4,0.6679,0.3894,0.5667,0.5497,24.1,10.8,6.34,0.24,267.3,55.11,10.71
432.0,0.7215,0.5303,0.5518,0.6932,32.4,11.7,6.59,4.75,883.4,13.37,12.85
403.8,0.8616,0.4238,0.6098,0.9268,22.1,10.3,9.08,0.78,408.5,52.76,12.85
409.5,0.8591,0.2236,0.6527,0.8167,24.4,13.7,9.05,3.12,506.2,30.01,12.85
420.5,0.8884,0.2315,0.5352,0.8904,30.1,14.1,9.39,0.31,762.5,100.43,12.85
239.3,0.6872,0.4689,0.3878,0.5671,32.0,13.9,9.06,1.19,478.5,57.35,12.16
313.2,0.7952,0.6078,0.5582,0.8427,34.8,13.5,5.57,0.04,715.1,72.62,12.85
250.1,0.7754,0.2975,0.5703,0.7589,31.9,8.8,8.71,2.17,497.2,24.3,11.9
444.4,0.8692,0.4195,0.5866,0.9759,31.4,10.0,6.84,1.3,862.4,29.82,12.85
382.1,0.7718,0.2156,0.2666,0.6902,27.5,11.2,9.46,1.47,593.0,42.94,12.85
306.0,0.7794,0.5591,0.5867,0.787,22.0,10.0,7.13,0.08,306.6,65.84,12.85
236.5,0.7988,0.4281,0.63,0.8167,23.7,13.8,7.49,0.36,276.3,76.24,12.04
300.9,0.6875,0.3774,0.6239,0.6363,29.5,10.0,7.38,0.12,526.0,65.94,12.85
304.5,0.8916,0.4414,0.5878,1.0281,31.5,8.2,6.45,0.51,592.4,35.17,12.85
409.7,0.7063,0.3979,0.362,0.6207,27.8,10.6,5.34,1.48,649.1,22.79,12.85
385.8,0.7407,0.4887,0.5189,0.6142,32.2,15.8,9.03,1.25,780.4,63.41,12.85
450.7,0.8052,0.4087,0.4484,0.8111,29.3,9.0,8.61,1.42,779.9,32.14,12.85
342.8,0.7477,0.5312,0.7255,0.729,23.0,12.5,5.63,1.2,378.4,32.07,12.85
251.1,0.7338,0.4293,0.5318,0.6859,24.7,10.9,8.5,0.48,318.6,62.62,12.3
405.4,0.597,0.1608,0.2986,0.4677,33.8,7.6,7.82,0.42,882.2,42.03,12.85
417.8,0.8655,0.43,0.5493,0.8765,32.1,11.4,6.84,0.22,841.8,63.82,12.85
365.9,0.8565,0.2313,0.4107,0.8127,34.5,13.3,6.14,2.84,824.3,21.33,12.85
420.5,0.7047,0.4908,0.5917,0.6239,23.6,11.6,8.87,1.44,489.6,42.27,12.85
348.4,0.7682,0.375,0.4317,0.7477,35.9,14.8,8.15,0.31,831.4,92.42,12.85
355.9,0.8472,0.3135,0.7136,0.8973,24.9,9.6,7.46,0.29,460.3,55.44,12.85
331.2,0.8567,0.4771,0.2804,0.7907,22.2,7.8,7.74,3.1,336.6,14.7,12.85
226.6,0.8699,0.5626,0.5902,0.8585,36.0,15.4,5.41,2.04,543.0,27.49,11.9
248.1,0.6346,0.3523,0.2852,0.5166,25.9,10.4,7.13,1.62,345.7,28.37,11.65
228.2,0.8171,0.4717,0.4672,0.7265,31.4,12.2,5.87,0.78,441.6,40.12,11.52
385.5,0.8388,0.3846,0.4677,0.8895,24.5,14.1,5.94,0.46,480.8,57.63,12.85
301.7,0.8689,0.3666,0.6285,0.9703,30.1,9.9,7.98,5.83,546.8,11.59,12.85
352.2,0.7905,0.382,0.3064,0.7301,34.7,13.4,9.1,2.39,798.0,36.06,12.85
456.0,0.8963,0.5334,0.682,0.9913,26.5,8.2,6.82,0.54,660.4,36.41,12.85
284.8,0.8059,0.5017,0.6806,0.85,31.4,9.6,5.93,2.82,552.1,14.94,12.85
326.7,0.9014,0.4052,0.5561,1.0232,24.6,8.3,7.92,2.13,412.6,20.98,12.85
416.4,0.6395,0.5069,0.5989,0.5095,30.7,14.3,8.92,0.53,780.7,83.45,12.85
279.5,0.8701,0.4656,0.6814,0.9818,26.7,9.0,8.37,0.83,411.1,41.08,12.85
240.0,0.7425,0.3222,0.2962,0.6652,25.0,13.5,8.91,0.31,311.0,91.62,12.06
295.3,0.6522,0.3029,0.2745,0.5463,26.4,15.5,7.41,0.18,424.8,97.61,12.85
261.9,0.6529,0.3602,0.413,0.5039,24.5,11.7,8.38,1.92,327.5,33.68,12.56
461.7,0.7594,0.3214,0.334,0.708,34.6,11.9,5.63,0.47,1044.7,45.52,12.85
430.1,0.762,0.445,0.3542,0.6344,27.6,11.1,6.57,2.57,669.3,20.49,12.85
384.7,0.7807,0.439,0.5196,0.6902,25.4,9.9,6.75,8.14,516.8,7.34,12.85
446.6,0.6997,0.2217,0.3599,0.6001,28.3,11.3,7.3,0.12,726.9,73.56,12.85
429.0,0.7023,0.3929,0.4933,0.671,26.5,12.4,9.18,0.96,621.4,58.17,12.85
268.5,0.775,0.6444,0.4069,0.7934,32.4,15.9,8.93,2.43,548.3,41.35,12.85
452.1,0.7263,0.434,0.5355,0.6308,35.6,15.4,5.61,2.33,1066.7,25.96,12.85
360.2,0.7595,0.5682,0.4986,0.7655,28.1,14.8,5.78,2.14,581.1,27.15,12.85
429.9,0.8138,0.5484,0.7275,0.8576,34.1,15.0,6.61,0.64,948.2,60.32,12.85
453.0,0.8993,0.5398,0.6894,1.0003,29.9,11.2,6.31,0.91,811.8,37.08,12.85
302.7,0.6969,0.4705,0.6349,0.5669,24.2,12.9,7.77,1.36,369.3,42.59,12.85
248.6,0.6934,0.4526,0.363,0.6443,31.7,15.1,9.06,5.47,489.0,21.08,11.87
279.3,0.8821,0.4227,0.4745,1.0041,29.2,10.5,9.33,0.6,480.0,61.63,12.85
331.0,0.748,0.4038,0.4257,0.7227,31.1,15.7,7.94,3.85,632.6,25.64,12.85
432.7,0.8295,0.2891,0.4375,0.7776,34.5,10.7,8.77,0.47,971.6,64.07,12.85
443.8,0.7606,0.5516,0.5647,0.7122,28.2,12.4,7.36,6.77,717.4,11.75,12.85
221.8,0.8836,0.2957,0.6555,0.9423,34.6,13.4,5.94,1.66,501.7,29.84,11.06
352.8,0.7827,0.2912,0.5733,0.7465,32.5,15.6,7.36,0.93,723.6,59.2,12.85
328.5,0.6369,0.1739,0.4323,0.4969,28.8,9.2,7.5,1.43,553.3,28.44,12.85
277.7,0.7852,0.2362,0.3392,0.7102,30.4,13.7,8.34,0.48,512.3,77.44,12.85
251.2,0.7669,0.3384,0.5321,0.7696,26.6,11.7,5.99,0.48,365.6,47.28,11.84
307.8,0.747,0.4609,0.7173,0.7458,35.8,9.4,6.66,0.18,731.6,53.09,12.85
465.2,0.5959,0.4043,0.6244,0.4574,31.3,14.0,6.64,0.18,899.7,78.59,12.85
304.0,0.8697,0.4569,0.7178,0.9802,22.6,12.0,9.32,0.64,322.7,67.97,12.85
354.9,0.773,0.2661,0.4776,0.6971,26.6,12.9,7.0,2.16,517.2,28.69,12.85
402.8,0.8706,0.3596,0.3758,0.9223,30.7,9.9,8.4,1.4,754.3,34.6,12.85
314.5,0.695,0.4456,0.4892,0.6539,22.8,11.3,8.38,0.16,339.4,81.68,12.85
472.7,0.7156,0.6139,0.4487,0.6911,22.3,12.6,6.19,2.87,488.5,20.11,12.85
470.2,0.8058,0.5305,0.5818,0.8573,28.3,10.6,7.57,1.38,766.5,33.88,12.85
285.5,0.6562,0.2079,0.4945,0.5473,26.7,8.8,9.02,4.86,418.4,13.53,11.88
349.3,0.8022,0.4482,0.704,0.8374,28.1,15.7,7.14,1.66,563.6,41.95,12.85
298.2,0.6764,0.2677,0.2369,0.5412,25.7,11.6,9.25,0.29,407.9,83.3,12.85
294.1,0.889,0.5208,0.4319,0.9663,24.3,13.6,5.97,0.96,361.9,41.34,12.85
229.6,0.7414,0.4936,0.6631,0.7211,31.6,10.7,5.33,1.57,451.1,22.22,11.3
378.5,0.8777,0.3189,0.5178,0.9389,29.2,10.2,9.01,0.04,651.1,88.09,12.85
350.7,0.6479,0.2657,0.4241,0.5291,24.8,10.7,8.81,0.02,449.0,91.93,12.85
233.4,0.7509,0.393,0.5164,0.7535,26.5,10.7,9.47,0.21,337.8,83.73,11.81
292.4,0.6607,0.3118,0.227,0.5304,30.3,11.9,8.06,0.43,534.8,66.81,12.85
456.1,0.8529,0.2054,0.3195,0.7311,23.0,11.9,9.22,0.84,502.3,59.49,12.85
282.3,0.8383,0.5306,0.5157,0.876,24.1,11.5,8.72,1.0,340.6,49.97,12.85
257.7,0.8269,0.3211,0.6746,0.807,23.0,8.2,8.8,0.22,284.1,59.11,12.28
347.3,0.8357,0.495,0.7219,0.8957,33.4,11.5,7.56,1.68,742.2,32.36,12.85
476.3,0.8675,0.3827,0.5907,0.8489,32.5,8.5,6.72,1.36,978.0,24.27,12.85
282.9,0.6011,0.2423,0.6233,0.4669,32.5,8.1,9.21,0.52,581.3,49.17,12.5
394.8,0.7933,0.3451,0.4717,0.8186,32.0,15.4,6.94,0.02,790.6,104.74,12.85
418.0,0.823,0.5687,0.4152,0.8164,31.4,12.4,7.42,0.12,809.8,82.41,12.85
281.8,0.7529,0.1936,0.5713,0.6416,28.7,12.9,7.01,0.75,470.0,51.93,12.58
409.3,0.8055,0.5155,0.4187,0.8202,31.0,10.6,7.54,0.25,777.4,64.01,12.85
315.6,0.7464,0.4159,0.631,0.6937,22.5,15.2,7.12,0.71,332.6,63.21,12.85
384.4,0.7778,0.5969,0.5847,0.7558,30.7,12.7,5.22,1.48,718.8,26.75,12.85
384.7,0.6655,0.4551,0.5787,0.5787,32.9,13.9,8.97,1.19,803.7,57.06,12.85
359.3,0.8046,0.4673,0.5964,0.8368,29.0,10.3,7.0,0.39,611.0,51.79,12.85
243.5,0.7053,0.6213,0.6412,0.6779,27.0,15.6,7.65,0.63,365.3,73.32,12.75
437.2,0.7175,0.4463,0.5325,0.6811,25.9,14.4,5.63,1.43,607.0,33.33,12.85
303.4,0.7992,0.1314,0.413,0.6788,31.0,14.7,5.02,2.96,576.4,18.61,12.73
268.5,0.7182,0.6043,0.3999,0.6982,31.7,8.5,6.1,2.1,528.9,16.84,12.82
230.6,0.8801,0.354,0.7019,0.9419,34.2,9.4,8.17,1.21,511.8,34.91,11.53
373.6,0.7229,0.4704,0.6674,0.6874,26.8,9.6,5.45,0.67,552.7,31.12,12.85
396.2,0.7827,0.3044,0.6532,0.7175,32.8,9.4,9.09,0.68,823.1,51.03,12.85
224.3,0.7331,0.5558,0.5173,0.726,29.9,14.7,5.97,3.17,400.6,21.02,10.9
353.1,0.7162,0.5647,0.71,0.6813,34.4,7.3,5.92,0.06,789.6,40.7,12.85
278.9,0.6216,0.414,0.2436,0.48,29.4,7.7,5.82,6.63,485.0,5.86,11.58
387.7,0.6859,0.5357,0.4568,0.597,29.2,9.5,5.06,1.64,668.7,18.17,12.85
265.3,0.8504,0.5829,0.5513,0.9301,30.1,8.8,8.47,1.71,480.0,27.47,12.85
399.6,0.8357,0.1911,0.3247,0.7074,32.5,9.1,8.94,0.06,818.9,76.75,12.85
320.6,0.8349,0.3859,0.6918,0.9136,35.5,14.2,7.76,1.4,753.5,45.97,12.85
463.5,0.8665,0.3418,0.6409,0.9186,23.0,12.1,5.85,0.99,511.3,35.37,12.85
255.8,0.7406,0.3678,0.5826,0.7041,22.7,7.1,6.28,0.17,274.9,37.95,12.18
308.7,0.78,0.4838,0.3869,0.6941,35.1,10.9,7.14,0.49,713.8,52.13,12.85
249.5,0.6105,0.4018,0.5485,0.4874,29.4,10.7,9.29,3.32,434.6,22.98,11.41
460.4,0.7854,0.5498,0.711,0.8207,30.6,8.0,6.11,1.2,856.8,22.32,12.85
448.1,0.6581,0.4322,0.2635,0.5474,28.8,13.1,8.29,0.8,750.8,60.28,12.85
287.1,0.8825,0.4526,0.7309,0.9697,23.3,13.3,6.98,0.11,324.7,83.48,12.85
391.6,0.6665,0.3529,0.3471,0.5709,32.8,13.5,6.34,1.88,812.7,29.71,12.85
432.5,0.5975,0.3393,0.2706,0.4593,32.5,13.6,7.05,1.82,884.9,33.9,12.85
364.4,0.6908,0.293,0.4338,0.5332,26.4,7.0,5.32,1.43,523.3,15.34,12.85
357.7,0.7495,0.3032,0.6457,0.7035,26.3,15.6,8.59,1.07,511.1,64.68,12.85
282.9,0.7648,0.4133,0.7034,0.7897,33.7,14.3,6.09,0.85,614.7,47.12,12.85
244.2,0.8409,0.4288,0.3769,0.8038,23.0,15.1,8.26,1.35,268.9,53.24,12.6
453.3,0.7493,0.2241,0.3934,0.6708,34.3,7.1,5.31,0.4,1012.4,27.1,12.85
454.1,0.7753,0.2089,0.3396,0.7033,25.6,15.4,9.3,4.25,617.3,27.27,12.85
384.6,0.8619,0.46,0.3389,0.8743,30.3,14.3,5.87,1.33,703.9,35.94,12.85
308.1,0.7956,0.4301,0.3985,0.7521,35.1,14.5,8.97,0.56,711.9,83.64,12.85
310.8,0.9029,0.4763,0.6874,1.0337,31.5,7.8,8.64,0.9,605.9,35.74,12.85
408.7,0.8939,0.2608,0.5902,0.9257,27.8,13.6,9.36,2.46,645.9,36.93,12.85
453.2,0.864,0.2796,0.3655,0.8747,31.7,15.6,7.15,0.26,890.8,88.44,12.85
450.6,0.5871,0.449,0.5194,0.4487,26.8,13.1,8.27,0.52,667.7,71.35,12.85
422.8,0.807,0.53,0.7332,0.8649,25.9,12.1,6.67,1.71,586.9,29.89,12.85
386.9,0.6131,0.3032,0.339,0.4904,36.0,15.5,5.83,0.57,926.8,57.65,12.85
241.9,0.7213,0.2588,0.4045,0.5794,32.5,11.0,6.99,2.36,496.1,22.88,11.34
262.0,0.8317,0.5401,0.38,0.854,31.0,12.4,5.75,0.21,498.5,58.87,12.85
453.6,0.7791,0.3081,0.4512,0.7561,27.0,11.3,9.42,2.16,679.3,33.67,12.85
377.7,0.7737,0.3129,0.644,0.7153,22.7,15.4,5.43,0.11,403.7,75.62,12.85
222.4,0.8654,0.266,0.3084,0.8558,22.4,7.7,7.65,0.02,232.1,57.7,11.21
246.4,0.77,0.3543,0.6329,0.7722,29.8,11.5,7.82,3.43,437.5,20.33,11.3
392.5,0.8091,0.2198,0.4734,0.715,32.7,13.2,7.42,1.31,811.3,42.42,12.85
221.3,0.7781,0.4857,0.584,0.7905,29.5,14.1,7.98,0.65,387.8,68.31,11.68
261.8,0.7526,0.3948,0.701,0.7246,33.8,12.2,5.52,0.4,570.0,48.41,12.24
362.7,0.852,0.5003,0.4656,0.8334,22.5,15.2,7.5,1.44,379.6,46.66,12.85
399.9,0.8808,0.3261,0.636,0.8904,27.1,15.5,6.29,1.07,605.2,47.12,12.85
389.5,0.6602,0.4499,0.4621,0.5436,25.3,7.6,9.23,7.17,518.8,8.56,12.85
278.3,0.8057,0.3933,0.5917,0.8259,28.3,10.6,8.43,6.13,452.6,12.56,12.46
405.2,0.8854,0.4947,0.3896,0.9126,23.0,7.2,9.38,1.51,446.2,26.92,12.85
281.7,0.6216,0.494,0.3256,0.5089,35.4,10.0,5.17,0.88,658.0,27.44,12.71
304.6,0.8907,0.5375,0.6465,0.9432,25.1,11.8,6.28,1.01,399.8,36.92,12.85
414.1,0.7799,0.6654,0.624,0.8184,34.9,15.2,5.88,1.72,948.8,32.84,12.85
388.9,0.6466,0.3056,0.5195,0.5523,28.0,14.6,5.05,0.16,620.8,63.61,12.85
440.8,0.8668,0.4179,0.6944,0.9685,35.8,8.1,6.09,0.6,1049.0,31.07,12.85
391.0,0.8481,0.3461,0.3345,0.8087,29.8,7.8,8.05,0.12,694.3,56.49,12.85
367.8,0.8221,0.3939,0.269,0.6929,35.0,12.3,6.04,0.11,847.0,66.69,12.85
244.4,0.7833,0.4776,0.547,0.6834,22.1,11.8,7.29,0.33,246.2,64.77,12.21
315.6,0.8665,0.5607,0.5184,0.8565,32.5,9.4,9.0,1.0,646.2,42.35,12.85
289.0,0.6757,0.445,0.5948,0.5555,34.6,15.1,8.12,2.3,654.3,37.11,12.85
283.4,0.8366,0.0987,0.2788,0.6936,24.0,15.3,6.78,1.0,338.9,52.07,12.64
473.0,0.8095,0.5682,0.7057,0.859,23.3,10.6,6.68,0.61,536.6,43.97,12.85
322.2,0.7063,0.5179,0.4012,0.6809,27.9,15.0,7.05,0.13,513.7,93.76,12.85
451.9,0.7294,0.5882,0.4407,0.7029,35.1,10.5,5.8,1.2,1042.7,27.56,12.85
384.1,0.6862,0.4046,0.4408,0.5586,29.6,13.6,7.85,0.47,675.8,72.59,12.85
426.7,0.7696,0.2705,0.3442,0.6463,29.4,11.3,6.64,1.43,741.7,30.81,12.85
350.7,0.662,0.2188,0.2003,0.5143,24.0,8.1,8.84,5.67,420.0,10.73,12.85
370.0,0.7881,0.533,0.5121,0.792,22.0,15.4,8.4,0.18,370.4,109.62,12.85
348.1,0.8277,0.6356,0.6863,0.8947,33.3,11.1,7.75,0.36,742.8,63.27,12.85
270.8,0.859,0.414,0.5162,0.8475,23.2,13.6,6.64,0.96,304.0,46.08,12.85
407.8,0.6018,0.3835,0.2436,0.4609,30.9,10.3,5.94,5.19,769.7,9.89,12.85
293.0,0.7831,0.4985,0.4337,0.7473,34.8,7.2,8.49,2.22,668.2,18.93,12.85
226.3,0.8332,0.2085,0.3881,0.7872,24.9,7.9,7.19,3.43,292.4,12.83,10.06
387.8,0.7877,0.3206,0.3205,0.7269,31.3,11.5,6.01,0.61,749.0,42.84,12.85
266.0,0.8035,0.4052,0.3779,0.7992,23.1,13.2,5.88,7.25,295.4,9.41,11.87
464.5,0.7236,0.4729,0.3929,0.6913,30.5,10.0,5.74,0.16,857.2,49.46,12.85
468.0,0.6409,0.3008,0.5733,0.4996,24.3,13.3,8.5,0.08,575.4,104.16,12.85
457.9,0.6121,0.23,0.3278,0.4585,32.3,13.3,6.03,2.9,929.6,20.53,12.85
316.2,0.9204,0.4422,0.5019,1.0971,26.2,13.3,7.37,3.93,449.6,19.93,12.85
224.0,0.7542,0.2475,0.3139,0.6525,28.5,11.4,7.03,0.14,369.4,70.37,11.15
461.4,0.702,0.3888,0.3085,0.5542,30.4,15.2,7.61,0.18,848.5,98.17,12.85
331.3,0.8726,0.3021,0.5553,0.801,24.4,11.4,8.95,0.05,410.8,97.11,12.85
471.3,0.7714,0.2806,0.229,0.6281,32.4,11.1,8.9,0.17,960.7,84.44,12.85
470.5,0.6903,0.2474,0.3752,0.6001,26.2,8.8,7.03,0.35,669.9,45.71,12.85
441.8,0.8829,0.4227,0.7062,0.9764,31.3,9.8,5.07,5.26,851.5,7.91,12.85
296.6,0.7384,0.3389,0.4587,0.6533,24.2,7.4,6.92,1.65,362.3,19.25,12.85
320.1,0.8368,0.5249,0.6094,0.8154,31.6,12.7,7.73,2.26,628.5,30.1,12.85
441.3,0.9069,0.4025,0.5833,0.9937,23.8,9.2,7.51,2.25,520.5,21.38,12.85
302.4,0.8358,0.5384,0.696,0.8285,28.0,9.7,7.93,1.15,482.5,35.94,12.85
264.1,0.7124,0.5268,0.5915,0.6921,25.5,13.9,5.69,2.4,355.5,23.37,12.75
364.8,0.7463,0.5949,0.5401,0.7453,32.5,9.9,7.91,1.36,746.9,33.35,12.85
463.4,0.5523,0.1663,0.2862,0.3984,25.7,9.2,5.82,0.57,633.4,34.12,12.85
401.0,0.8019,0.5571,0.4858,0.8239,34.3,8.5,8.38,1.24,895.9,31.94,12.85
368.2,0.8673,0.4216,0.3548,0.8687,34.5,14.0,6.53,1.14,828.0,42.54,12.85
245.3,0.8078,0.3878,0.6781,0.8673,24.8,8.2,8.19,2.6,312.7,18.58,11.93
379.9,0.7785,0.4977,0.642,0.7351,30.6,11.1,5.22,6.0,706.4,8.25,12.85
477.4,0.751,0.4954,0.4678,0.768,23.2,11.6,6.84,0.79,536.0,44.05,12.85
256.4,0.8895,0.4791,0.6698,0.9788,27.5,13.2,8.17,2.16,397.0,34.08,12.85
354.8,0.7364,0.5204,0.2456,0.6333,32.0,12.7,6.02,0.16,709.1,66.05,12.85
448.1,0.8623,0.312,0.3733,0.8792,31.2,14.3,8.58,2.25,861.8,37.74,12.85
412.6,0.8531,0.6404,0.5774,0.9542,30.7,7.4,7.84,0.7,773.5,34.21,12.85
