crop_age_days,sat_ndvi,sat_evi,sat_temp_celsius,sat_diurnal_temp_range,sat_solar_radiation_kwh_m2,sat_precipitation_mm,sat_humidity_pct,gdd,sucrose_pct
308.4,0.696,0.526,28.8,15.4,9.29,0.12,57.6,518.6,18.8
243.0,0.619,0.545,24.1,13.3,9.21,0.99,43.6,293.8,16.03
358.9,0.862,0.71,36.2,12.5,8.43,0.53,55.9,868.1,18.53
261.8,0.634,0.586,29.2,15.8,9.46,0.5,66.4,450.2,18.8
205.3,0.834,0.704,25.1,8.0,7.22,6.43,71.3,269.3,11.77
342.0,0.656,0.619,27.9,6.9,9.31,1.92,71.5,543.2,16.7
239.0,0.627,0.494,28.6,8.6,4.88,1.63,61.8,397.3,14.03
406.9,0.667,0.617,35.2,14.7,6.33,1.07,79.7,945.7,18.16
409.9,0.592,0.536,33.7,6.4,5.63,1.12,75.0,891.0,14.42
401.3,0.801,0.725,34.3,12.4,5.48,1.56,71.6,895.2,17.11
281.4,0.686,0.631,22.2,16.9,5.2,2.38,33.1,286.4,16.85
203.4,0.559,0.504,28.7,15.4,7.61,2.42,30.4,338.8,14.05
404.2,0.873,0.764,29.7,11.7,8.41,0.38,41.7,715.5,18.8
294.2,0.63,0.489,22.3,6.7,7.39,1.39,66.5,303.2,15.39
412.7,0.705,0.534,26.2,15.1,5.23,1.06,52.6,584.2,15.79
412.0,0.876,0.818,34.2,12.6,8.56,4.09,52.1,913.2,18.8
387.7,0.743,0.649,24.2,7.3,7.68,2.0,78.7,472.7,16.39
264.8,0.505,0.459,30.6,7.0,6.44,1.52,79.3,491.6,13.69
284.7,0.892,0.755,25.4,16.0,7.87,0.25,80.0,382.8,18.8
387.3,0.745,0.576,22.2,13.4,5.8,1.86,47.3,394.8,16.67
269.7,0.607,0.471,25.9,15.1,6.23,0.25,68.0,373.8,16.61
237.3,0.515,0.457,37.6,15.7,9.09,0.82,44.9,607.8,16.69
322.5,0.823,0.688,34.8,12.3,5.95,0.31,40.5,736.1,17.61
406.0,0.741,0.586,37.4,11.7,6.85,2.36,40.2,1029.2,16.79
353.1,0.701,0.594,29.8,10.7,8.95,0.46,48.8,628.8,18.31
325.4,0.87,0.664,23.8,9.5,8.04,0.99,53.6,382.5,17.99
221.4,0.821,0.711,30.8,10.8,4.81,4.52,75.7,415.5,14.01
335.3,0.521,0.419,29.3,14.5,5.24,0.46,36.6,579.1,16.08
417.8,0.597,0.543,35.5,12.6,4.54,1.42,70.4,982.3,15.3
230.8,0.567,0.46,23.6,15.8,7.65,1.09,59.2,267.0,15.0
314.0,0.8,0.673,29.8,10.9,6.74,0.04,45.8,559.4,17.77
393.0,0.466,0.35,24.4,12.7,5.17,3.15,57.1,487.4,15.38
363.0,0.718,0.549,27.2,12.9,9.29,0.14,46.5,551.5,18.8
353.3,0.808,0.67,33.8,12.5,7.15,1.29,62.8,770.2,16.9
354.5,0.862,0.729,29.6,13.7,5.71,1.65,53.9,624.6,18.08
279.1,0.611,0.531,28.0,8.6,7.0,1.98,39.0,446.9,15.23
264.6,0.836,0.676,28.3,11.6,7.9,2.33,36.4,431.6,17.51
378.1,0.502,0.446,29.4,7.1,4.88,0.58,60.1,656.0,14.28
378.2,0.848,0.782,34.6,10.2,5.87,0.02,79.6,853.3,18.11
390.8,0.51,0.462,36.3,11.4,8.53,2.57,48.9,948.5,16.7
400.9,0.637,0.483,37.3,13.2,6.8,1.53,70.3,1013.7,17.43
312.5,0.825,0.698,34.6,16.5,7.23,3.62,66.2,705.9,18.8
310.3,0.52,0.401,27.0,12.6,6.66,3.45,81.2,466.9,15.86
375.6,0.558,0.445,33.0,14.2,4.72,3.71,75.2,789.2,16.78
343.0,0.789,0.748,29.0,11.6,5.33,1.33,61.2,583.1,16.97
354.4,0.788,0.614,26.1,13.0,6.73,0.81,66.1,498.9,17.78
375.1,0.751,0.638,35.5,6.8,5.55,3.14,79.4,879.7,14.8
395.8,0.776,0.678,22.6,8.8,4.75,1.2,52.0,420.1,15.04
274.4,0.705,0.628,36.4,10.0,8.72,0.41,48.0,670.2,17.41
282.6,0.568,0.49,29.4,11.2,9.41,3.86,30.6,491.3,16.58
220.7,0.612,0.461,32.2,6.5,8.47,4.28,75.5,445.7,13.21
327.2,0.535,0.436,32.5,7.5,8.77,1.26,74.1,672.4,15.86
207.9,0.877,0.749,36.3,9.0,5.71,0.16,35.7,505.7,14.96
302.4,0.724,0.556,32.2,16.7,9.3,0.98,61.7,610.5,18.8
319.4,0.638,0.524,31.8,9.6,5.48,3.25,55.5,633.1,14.9
263.0,0.667,0.505,23.1,11.3,9.26,4.64,36.5,291.1,16.45
330.0,0.895,0.685,30.3,8.2,9.47,0.45,83.9,603.7,18.59
206.7,0.522,0.433,24.4,12.7,8.06,0.14,41.8,256.4,14.11
208.2,0.726,0.563,33.8,9.1,9.41,4.2,33.7,453.9,14.1
381.0,0.688,0.594,30.2,8.3,7.35,0.99,62.7,693.2,15.96
279.2,0.737,0.655,32.9,11.7,5.8,1.56,70.6,583.2,15.34
228.0,0.459,0.417,22.7,6.1,6.68,6.89,31.8,243.2,11.28
314.9,0.86,0.679,23.4,6.1,7.47,0.14,66.2,357.6,16.96
369.4,0.888,0.696,33.5,8.4,4.87,2.09,59.3,792.8,14.77
247.5,0.716,0.552,23.2,6.4,7.61,0.15,35.7,276.0,16.18
337.0,0.777,0.682,23.1,7.2,9.41,0.94,39.5,375.5,17.68
218.8,0.884,0.788,22.2,9.7,5.45,3.26,61.2,223.0,13.92
211.4,0.782,0.592,37.3,14.8,8.46,1.14,46.3,534.9,15.53
316.9,0.522,0.489,33.8,12.3,9.04,11.74,81.6,690.8,14.83
318.9,0.721,0.548,27.7,11.6,9.22,1.64,75.0,499.2,18.63
340.2,0.735,0.631,26.7,9.2,9.3,0.77,84.1,501.7,18.31
359.7,0.649,0.579,27.6,16.2,7.11,0.5,44.3,561.0,18.7
414.7,0.796,0.736,34.4,10.4,9.39,0.86,83.3,928.7,18.56
313.6,0.889,0.794,32.6,7.0,8.29,0.93,53.7,645.4,17.16
271.1,0.885,0.806,25.0,12.8,5.31,0.14,49.1,351.4,16.66
374.9,0.662,0.541,24.8,7.3,6.88,0.92,32.8,479.4,15.43
259.6,0.503,0.459,23.6,9.8,8.09,1.25,32.9,300.5,14.89
296.6,0.913,0.699,32.6,11.6,5.74,2.57,68.1,609.9,16.8
217.3,0.844,0.784,34.2,15.6,7.7,2.14,55.2,483.0,15.86
205.6,0.509,0.437,26.2,11.4,7.83,2.47,42.5,292.8,13.14
411.8,0.883,0.806,22.3,13.7,5.31,0.02,63.8,425.6,18.36
383.9,0.859,0.722,23.3,16.9,7.33,0.49,43.9,434.4,18.8
353.1,0.694,0.61,37.5,7.4,8.36,2.17,61.8,899.9,15.94
290.0,0.728,0.623,26.7,9.0,6.99,1.32,49.8,427.0,15.64
238.1,0.638,0.571,34.3,10.3,4.56,0.01,75.3,531.2,13.69
234.4,0.476,0.365,32.0,10.6,4.55,3.26,75.1,468.7,13.3
255.1,0.608,0.463,28.1,10.5,6.29,2.96,56.3,410.9,13.71
320.8,0.827,0.661,25.3,16.0,9.13,1.59,49.3,426.4,18.8
357.2,0.452,0.354,23.9,13.9,5.64,0.14,49.9,426.6,16.96
345.2,0.607,0.561,31.8,12.7,7.67,2.91,74.3,685.0,16.8
261.6,0.637,0.506,34.4,9.4,5.61,1.75,48.0,585.8,13.3
410.1,0.703,0.664,32.3,15.1,6.11,3.05,41.5,832.5,17.13
362.3,0.882,0.721,30.5,16.5,8.74,2.79,34.7,669.8,18.8
322.0,0.613,0.482,22.7,15.0,8.14,3.25,55.7,343.6,17.21
334.6,0.613,0.557,37.5,6.0,4.98,1.46,56.5,853.0,14.13
292.3,0.797,0.702,34.8,13.0,6.64,0.3,76.2,665.9,18.65
254.5,0.663,0.563,26.7,6.6,4.65,2.22,42.2,373.7,13.75
278.3,0.556,0.478,37.7,8.8,6.9,1.94,51.0,714.7,14.44
366.7,0.663,0.592,31.6,6.7,7.81,2.71,74.5,719.9,15.13
203.2,0.516,0.411,31.3,12.6,5.09,0.37,75.3,392.5,12.89
225.5,0.533,0.506,34.0,13.6,5.94,0.43,51.2,495.5,14.43
210.1,0.684,0.647,35.0,7.3,6.49,4.42,55.3,483.0,13.07
209.0,0.647,0.569,32.5,10.2,9.1,2.77,46.7,428.4,13.87
388.2,0.88,0.695,24.0,11.0,9.47,4.78,81.3,467.8,18.8
354.8,0.62,0.55,27.4,10.1,4.72,2.84,36.5,546.8,16.05
304.3,0.723,0.553,36.8,7.3,8.31,1.82,81.4,756.2,16.65
221.5,0.747,0.565,25.6,10.6,6.36,2.12,67.6,301.1,14.15
308.2,0.456,0.366,28.0,14.3,6.46,4.4,59.2,491.7,15.75
304.2,0.762,0.642,28.9,6.8,8.27,1.73,31.8,514.4,16.16
238.1,0.534,0.493,29.0,6.9,9.09,2.0,56.2,405.5,14.6
295.4,0.902,0.807,31.8,9.9,9.25,0.34,52.4,585.2,18.7
287.7,0.52,0.467,37.1,16.4,7.39,1.28,38.9,721.7,16.72
