crop_age_days,sat_ndvi,sat_ndre,sat_ndwi,sat_evi,sat_temp_celsius,sat_diurnal_temp_range,sat_solar_radiation_kwh_m2,sat_precipitation_mm,gdd,hydro_thermal_index,factory_sugar_recovery_pct
228.9,0.7003,0.3018,0.5357,0.6242,28.0,8.1,7.94,0.58,366.0,40.55,10.89
456.4,0.6831,0.2801,0.6766,0.6017,24.3,11.8,6.87,0.21,559.2,66.81,12.85
287.3,0.7424,0.4734,0.6613,0.7252,31.8,9.6,5.81,0.71,569.0,32.51,12.85
392.3,0.6804,0.3666,0.4358,0.5497,32.6,7.4,8.1,1.67,809.0,22.5,12.85
301.0,0.8634,0.4773,0.3267,0.8688,23.5,13.0,7.54,2.29,345.6,29.86,12.85
355.2,0.8871,0.489,0.6221,0.8936,29.1,14.8,8.86,1.13,606.9,61.3,12.85
362.1,0.6872,0.5807,0.4134,0.6244,33.4,8.5,5.53,1.34,775.2,20.03,12.85
268.1,0.7953,0.5487,0.7207,0.8462,35.1,14.3,8.54,0.34,619.4,91.44,12.85
472.1,0.7362,0.5327,0.3864,0.7169,29.2,14.7,8.03,0.51,811.5,78.18,12.85
421.5,0.7606,0.2221,0.5072,0.6936,35.3,15.2,5.52,0.26,982.3,66.43,12.85
464.3,0.8889,0.4501,0.46,0.9937,29.5,9.4,8.13,0.43,812.5,53.35,12.85
452.7,0.8353,0.3538,0.4635,0.7434,27.5,15.1,6.99,0.38,702.5,76.51,12.85
375.5,0.6349,0.2136,0.291,0.4801,33.9,9.9,9.25,1.1,821.3,43.57,12.85
459.7,0.7456,0.4523,0.5462,0.6358,28.9,12.0,5.64,1.24,777.0,30.12,12.85
243.0,0.8306,0.3699,0.6014,0.7813,28.6,7.5,7.89,4.35,403.6,11.0,11.04
271.0,0.7726,0.3554,0.336,0.7315,28.9,7.4,6.72,0.33,456.9,37.46,12.36
231.8,0.8901,0.4258,0.3691,0.9469,33.9,13.5,9.31,1.54,506.5,49.41,12.42
304.6,0.7943,0.5146,0.4429,0.8316,33.6,11.0,6.48,2.55,659.3,20.1,12.85
321.1,0.8286,0.2477,0.4398,0.8172,27.6,9.3,9.33,1.23,502.4,38.9,12.85
290.6,0.6994,0.2766,0.3749,0.6278,26.7,8.7,9.06,0.44,426.1,54.74,12.85
435.5,0.7563,0.2064,0.5717,0.6137,28.9,13.0,6.22,0.46,735.4,55.6,12.85
312.8,0.7062,0.2194,0.4235,0.5547,30.0,7.0,8.62,0.06,563.5,56.92,12.85
293.0,0.9005,0.3677,0.5693,0.9496,25.3,14.3,9.48,0.55,390.8,87.36,12.85
361.1,0.8762,0.4883,0.418,0.8775,33.1,7.7,6.14,2.05,762.5,15.53,12.85
256.6,0.8279,0.5036,0.6041,0.8798,28.8,8.7,6.97,0.07,431.4,56.63,12.85
428.6,0.7235,0.4858,0.5573,0.6002,26.7,10.5,7.34,0.37,629.0,56.08,12.85
239.4,0.659,0.2503,0.3017,0.5034,23.5,11.4,6.33,1.84,275.2,25.34,11.05
476.6,0.8166,0.366,0.3589,0.7853,25.3,10.2,5.07,2.29,636.0,15.71,12.85
420.8,0.6785,0.4237,0.465,0.5617,35.3,9.9,5.99,0.91,980.0,30.99,12.85
271.7,0.5906,0.0981,0.5349,0.4398,26.3,15.7,6.27,1.8,387.7,35.14,11.83
221.4,0.7342,0.3265,0.6486,0.7078,24.4,12.8,7.0,0.74,273.8,51.47,10.93
432.0,0.858,0.1972,0.4971,0.7563,28.4,7.2,5.77,0.26,710.6,32.99,12.85
403.8,0.7865,0.4097,0.586,0.7699,26.3,10.9,8.93,0.76,577.4,55.11,12.85
409.5,0.8533,0.212,0.3712,0.7995,22.5,14.9,8.17,1.3,429.7,52.83,12.85
420.5,0.7979,0.4469,0.3533,0.6948,26.5,9.7,5.38,4.44,610.8,9.62,12.85
239.3,0.6354,0.2673,0.3804,0.5321,29.6,7.9,7.93,0.11,421.5,56.22,11.62
313.2,0.8816,0.591,0.5955,0.9736,29.7,13.8,7.94,1.06,555.1,53.24,12.85
250.1,0.7553,0.2699,0.3397,0.6853,27.0,12.5,9.3,0.6,375.0,72.49,12.33
444.4,0.7712,0.5273,0.6495,0.7689,28.3,12.1,5.01,1.06,722.7,29.46,12.85
382.1,0.6529,0.154,0.3922,0.5147,35.5,7.5,6.12,0.04,898.5,44.15,12.85
306.0,0.7859,0.3286,0.4409,0.7963,27.3,8.3,9.18,0.56,467.7,48.51,12.85
236.5,0.8798,0.4575,0.5604,0.826,25.6,12.6,9.19,2.57,322.0,32.45,12.49
300.9,0.8295,0.4485,0.6786,0.8529,25.4,8.9,8.24,1.21,403.4,33.07,12.85
304.5,0.7729,0.2667,0.3673,0.7417,28.4,11.5,8.45,0.9,499.7,51.33,12.85
409.7,0.9006,0.4924,0.6228,1.0397,32.6,11.9,5.41,0.5,845.3,42.82,12.85
385.8,0.7938,0.248,0.3869,0.7384,24.9,9.6,7.31,0.53,497.0,45.63,12.85
450.7,0.8554,0.2249,0.6022,0.7383,31.9,15.5,6.04,0.72,898.2,54.43,12.85
342.8,0.8329,0.2875,0.2617,0.6952,22.3,14.6,5.82,2.71,352.9,22.87,12.85
251.1,0.8259,0.5379,0.6171,0.8741,27.9,13.5,8.65,5.13,398.4,19.05,12.36
405.4,0.8659,0.5076,0.6801,0.8821,32.9,7.7,5.61,0.87,845.8,23.14,12.85
417.8,0.7845,0.3789,0.503,0.7943,26.7,8.0,7.11,0.75,615.9,32.32,12.85
365.9,0.6793,0.3591,0.5298,0.5622,29.9,11.4,9.22,2.81,654.7,27.67,12.85
420.5,0.6723,0.3474,0.4919,0.5711,24.9,8.4,5.84,0.84,541.1,26.86,12.85
348.4,0.7906,0.2459,0.559,0.648,32.4,15.8,9.4,1.2,710.3,67.4,12.85
355.9,0.8847,0.4701,0.7011,1.0127,22.7,8.4,9.47,0.39,382.0,57.28,12.85
331.2,0.8829,0.3246,0.5977,0.9463,33.9,11.4,7.5,2.04,726.4,28.09,12.85
226.6,0.7855,0.3547,0.7207,0.8195,24.8,10.3,5.77,1.14,289.5,27.7,10.92
248.1,0.6809,0.3608,0.2719,0.569,34.2,12.8,6.42,2.48,551.7,23.52,11.89
228.2,0.8985,0.3211,0.717,0.9615,26.9,8.2,6.91,2.28,340.8,17.21,11.17
385.5,0.696,0.3558,0.5283,0.6466,32.1,10.9,6.39,0.36,775.5,50.99,12.85
301.7,0.8729,0.3176,0.6079,0.8393,26.5,9.5,6.26,1.89,436.6,20.55,12.85
352.2,0.797,0.3426,0.6236,0.8267,34.7,15.0,9.38,2.41,799.0,41.16,12.85
456.0,0.7727,0.5875,0.439,0.7994,23.8,7.4,5.69,0.64,536.8,25.6,12.85
284.8,0.735,0.6101,0.6857,0.7297,24.5,15.2,8.3,0.28,356.0,98.39,12.85
326.7,0.7496,0.345,0.384,0.7333,28.9,14.5,5.0,0.0,552.2,72.23,12.85
416.4,0.6591,0.3528,0.5577,0.5455,23.1,9.7,7.68,0.9,464.2,39.15,12.85
279.5,0.7834,0.219,0.3351,0.7011,24.7,14.1,9.12,0.65,356.2,77.88,12.85
240.0,0.7541,0.3833,0.5577,0.7703,35.2,7.3,6.3,1.21,557.1,20.7,11.22
295.3,0.8312,0.4259,0.1862,0.6903,35.7,15.7,5.83,0.31,699.1,69.81,12.85
261.9,0.7096,0.3314,0.5106,0.6705,27.3,11.7,7.93,2.95,399.9,23.6,12.35
461.7,0.7817,0.4595,0.5155,0.7789,34.9,9.7,8.21,0.45,1058.5,55.18,12.85
430.1,0.7129,0.4205,0.6325,0.6631,29.6,10.3,8.1,0.39,758.2,59.99,12.85
384.7,0.827,0.4611,0.6971,0.9031,25.8,7.6,6.44,0.98,530.0,24.66,12.85
446.6,0.7055,0.2059,0.285,0.6064,31.8,15.9,6.13,1.04,885.7,47.92,12.85
429.0,0.7405,0.5427,0.5163,0.6559,31.2,7.4,9.3,0.36,824.6,50.17,12.85
268.5,0.6338,0.2708,0.4206,0.4872,35.8,12.9,9.15,0.48,640.3,79.98,12.42
452.1,0.8739,0.3174,0.3755,0.8749,25.7,11.0,7.06,0.28,619.8,60.62,12.85
360.2,0.8655,0.2504,0.491,0.8119,31.4,15.5,8.81,1.9,699.2,47.18,12.85
429.9,0.8175,0.2865,0.2835,0.7628,22.7,9.2,7.04,2.21,461.2,20.23,12.85
453.0,0.8795,0.5929,0.473,0.9765,23.6,11.8,6.91,0.93,525.1,42.19,12.85
302.7,0.7405,0.5522,0.5364,0.7446,22.1,11.3,5.71,1.88,304.3,22.48,12.85
248.6,0.8068,0.3542,0.2548,0.7094,36.0,13.3,6.92,2.0,596.5,30.76,12.19
279.3,0.6364,0.2609,0.6567,0.5324,33.2,7.6,7.42,0.22,592.9,46.16,12.22
331.0,0.8464,0.5579,0.6545,0.9299,33.0,8.7,5.1,5.08,695.7,7.34,12.85
432.7,0.8018,0.3739,0.372,0.6701,29.1,8.9,7.0,2.58,741.5,17.46,12.85
443.8,0.621,0.1174,0.4967,0.4763,26.2,13.6,8.52,0.34,630.2,86.5,12.85
221.8,0.6731,0.5014,0.295,0.5431,24.1,8.7,8.06,0.31,268.8,53.58,11.18
352.8,0.7809,0.2701,0.3637,0.7589,26.0,12.2,7.86,0.2,493.4,79.54,12.85
328.5,0.6997,0.2267,0.4203,0.5707,27.3,8.9,9.09,0.22,501.5,66.43,12.85
277.7,0.7727,0.4013,0.6287,0.8022,32.6,14.8,5.08,2.07,571.8,24.43,12.85
251.2,0.8334,0.454,0.3111,0.8107,29.6,15.5,7.51,0.95,440.9,59.55,12.85
307.8,0.6557,0.5803,0.5056,0.5717,23.1,11.7,8.54,2.29,341.2,30.28,12.85
465.2,0.6102,0.2408,0.4217,0.4869,22.3,10.2,7.44,2.06,476.9,24.74,12.85
304.0,0.729,0.2813,0.5366,0.663,23.4,9.1,6.46,1.39,347.6,24.59,12.85
354.9,0.8589,0.3588,0.3828,0.9011,27.7,7.4,5.61,1.74,558.8,15.26,12.85
402.8,0.7581,0.5756,0.5123,0.7482,35.1,9.4,8.99,0.03,929.0,82.4,12.85
314.5,0.8958,0.3765,0.449,0.9909,30.9,12.9,7.12,0.56,595.2,58.79,12.85
472.7,0.8968,0.3294,0.3931,0.9499,33.2,11.8,8.95,1.52,1003.3,41.87,12.85
470.2,0.8618,0.4356,0.6195,0.9554,28.5,15.5,7.64,0.01,777.3,116.69,12.85
285.5,0.8109,0.387,0.5721,0.8459,27.1,10.6,8.03,0.05,430.0,80.82,12.85
349.3,0.7202,0.3514,0.4229,0.6912,23.5,13.2,8.62,2.86,402.3,29.54,12.85
298.2,0.6293,0.212,0.4168,0.4787,34.3,11.4,7.97,1.73,663.9,33.3,12.85
294.1,0.612,0.4116,0.2172,0.4538,33.0,11.6,6.79,0.46,616.5,53.92,12.85
229.6,0.7483,0.3142,0.2441,0.6408,24.4,9.4,7.31,1.75,283.6,25.05,11.16
378.5,0.8237,0.585,0.4757,0.8403,29.2,11.1,8.61,2.36,649.9,28.45,12.85
350.7,0.7912,0.4029,0.3731,0.7396,28.8,11.2,6.68,0.55,590.0,48.45,12.85
233.4,0.6396,0.4007,0.349,0.5398,30.8,13.4,6.75,0.06,437.6,85.43,11.92
292.4,0.9096,0.626,0.4502,1.0489,35.2,15.5,5.43,4.05,679.8,16.63,12.85
456.1,0.737,0.529,0.5988,0.7341,30.1,10.0,9.12,0.64,826.4,55.55,12.85
282.3,0.7949,0.6132,0.7338,0.8323,29.6,7.4,5.41,0.17,495.8,34.15,12.85
257.7,0.7602,0.2413,0.4773,0.6768,22.7,11.5,7.92,1.02,275.8,45.04,11.98
347.3,0.7415,0.3081,0.4644,0.7141,22.9,11.9,6.86,2.19,377.8,25.55,12.85
476.3,0.7405,0.5013,0.4452,0.643,24.6,8.5,6.83,0.38,601.2,42.25,12.85
282.9,0.6224,0.1556,0.3027,0.4923,22.5,13.8,8.06,0.47,295.8,75.84,12.56
394.8,0.6142,0.2922,0.461,0.4827,32.4,15.9,5.3,0.42,805.6,59.36,12.85
418.0,0.7687,0.4246,0.3921,0.694,32.1,15.5,7.67,7.18,841.3,14.54,12.85
281.8,0.8186,0.538,0.6008,0.7841,23.9,8.8,8.47,0.33,335.5,55.91,12.85
409.3,0.7848,0.4684,0.4688,0.8033,33.7,14.9,8.73,1.29,888.5,56.82,12.85
315.6,0.5953,0.1772,0.3576,0.4544,24.2,13.3,5.77,3.89,384.0,15.73,12.23
384.4,0.8613,0.3856,0.6471,0.9211,26.2,11.1,9.04,0.24,546.5,80.91,12.85
384.7,0.7439,0.571,0.5745,0.6934,25.5,11.9,7.95,5.3,518.8,14.97,12.85
359.3,0.7044,0.5053,0.3345,0.601,27.2,14.6,8.97,4.42,546.6,24.24,12.85
243.5,0.7128,0.4258,0.4889,0.6445,25.6,11.3,7.18,3.24,330.3,19.19,11.24
437.2,0.847,0.4144,0.5581,0.7952,28.8,10.4,7.44,0.36,736.4,56.57,12.85
303.4,0.7314,0.5119,0.3494,0.6855,27.7,11.4,9.14,1.51,476.5,41.67,12.85
268.5,0.663,0.456,0.3885,0.5721,35.8,12.2,9.05,2.15,639.3,35.13,12.85
230.6,0.8167,0.1911,0.2218,0.7169,22.8,8.7,7.02,6.41,248.7,8.24,10.34
373.6,0.7912,0.1351,0.4078,0.6719,24.0,15.1,6.23,0.3,448.0,72.55,12.85
396.2,0.6686,0.4382,0.504,0.5936,22.7,13.1,6.77,2.18,425.5,27.83,12.85
224.3,0.8785,0.3673,0.4383,0.9884,30.8,12.7,6.74,0.62,420.9,52.86,11.25
353.1,0.6592,0.4166,0.4348,0.5552,22.8,7.9,6.29,0.29,380.1,38.51,12.85
278.9,0.7967,0.456,0.4622,0.8076,33.7,12.4,6.21,0.82,605.5,42.41,12.85
387.7,0.8469,0.5272,0.6147,0.8794,29.2,8.1,8.87,2.37,665.6,21.31,12.85
265.3,0.7403,0.4461,0.5863,0.7437,29.4,7.7,5.31,0.94,461.1,21.14,12.18
399.6,0.815,0.3306,0.6929,0.8536,29.9,11.7,8.05,1.16,713.9,43.84,12.85
320.6,0.7737,0.377,0.6181,0.743,24.4,10.6,5.78,8.0,397.2,6.82,12.85
463.5,0.8199,0.4796,0.7256,0.8328,24.8,12.3,6.55,0.76,591.8,45.67,12.85
255.8,0.791,0.4375,0.7377,0.824,26.5,7.8,5.28,1.43,369.9,16.92,11.93
308.7,0.847,0.5113,0.2926,0.8207,30.3,10.9,6.21,0.68,565.2,40.2,12.85
249.5,0.775,0.2216,0.552,0.6994,24.9,8.6,8.46,0.75,322.9,41.47,11.59
460.4,0.5499,0.2341,0.2689,0.3964,23.6,15.9,8.98,1.78,535.4,51.24,12.85
448.1,0.8566,0.4837,0.4404,0.9306,35.6,12.1,6.0,4.17,1056.7,13.98,12.85
287.1,0.7684,0.4361,0.528,0.7719,22.3,13.2,7.09,1.17,295.9,43.01,12.85
391.6,0.7609,0.2271,0.5394,0.6321,33.2,9.9,7.12,2.19,831.7,22.12,12.85
432.5,0.716,0.571,0.4204,0.6611,33.0,7.9,8.93,0.14,909.6,61.51,12.85
364.4,0.8617,0.325,0.4375,0.8602,26.2,15.8,8.43,0.36,516.0,98.16,12.85
357.7,0.5803,0.38,0.2839,0.4393,23.9,9.6,7.31,1.05,425.6,34.21,12.85
282.9,0.826,0.4348,0.4906,0.8997,24.0,10.8,8.02,0.03,340.6,84.16,12.85
244.2,0.8053,0.2034,0.2338,0.7148,31.8,12.8,8.81,0.44,482.7,78.79,11.88
453.3,0.8409,0.1535,0.3272,0.7201,31.0,7.2,5.04,1.09,861.2,17.4,12.85
454.1,0.8614,0.4003,0.5665,0.8908,33.0,14.3,6.81,0.02,951.7,95.22,12.85
384.6,0.7912,0.4433,0.4828,0.7995,35.1,11.8,9.08,0.46,889.4,73.54,12.85
308.1,0.7442,0.3946,0.5669,0.5956,31.7,9.5,8.33,1.08,606.6,38.02,12.85
310.8,0.7154,0.3479,0.3858,0.6715,24.2,7.6,7.44,1.28,378.6,24.69,12.85
408.7,0.79,0.4832,0.6511,0.7615,25.4,8.5,7.38,3.9,548.1,12.75,12.85
453.2,0.7855,0.2725,0.4497,0.6614,33.8,15.1,6.56,1.55,987.7,38.69,12.85
450.6,0.6866,0.38,0.2726,0.5599,24.9,13.2,7.34,0.8,582.7,53.63,12.85
422.8,0.7296,0.5442,0.4636,0.6788,23.0,9.2,7.95,4.0,465.7,14.72,12.85
386.9,0.8359,0.2922,0.4762,0.778,31.8,7.6,6.88,2.3,767.9,15.81,12.85
241.9,0.8834,0.6382,0.5782,1.0055,27.6,13.2,8.21,0.33,378.2,81.33,12.85
262.0,0.9075,0.3922,0.4341,1.0295,34.9,12.2,8.88,0.21,599.5,89.11,12.85
453.6,0.7709,0.5541,0.6317,0.8012,31.1,10.6,5.7,1.69,866.6,22.53,12.85
377.7,0.6909,0.5318,0.2837,0.5799,23.3,10.3,7.03,1.23,425.5,32.38,12.85
222.4,0.8209,0.4913,0.7255,0.8886,35.3,9.0,6.84,2.34,517.5,18.33,11.11
246.4,0.6774,0.5513,0.3666,0.5896,25.6,13.0,8.09,2.01,335.6,34.98,12.45
392.5,0.6715,0.4353,0.3187,0.5705,26.7,15.7,6.12,1.47,577.8,38.98,12.85
221.3,0.6695,0.178,0.5077,0.5189,27.6,8.6,7.88,6.44,346.0,9.08,9.8
261.8,0.5893,0.4405,0.3844,0.439,22.7,12.4,8.95,1.14,280.6,51.65,12.7
362.7,0.8595,0.3378,0.6567,0.9087,29.0,10.8,6.88,0.18,614.8,63.08,12.85
399.9,0.8665,0.5759,0.3979,0.8666,23.7,11.0,9.1,2.64,468.9,27.53,12.85
389.5,0.7965,0.4125,0.3966,0.706,27.6,9.3,9.47,0.44,608.2,61.27,12.85
278.3,0.8919,0.3469,0.4606,0.95,26.9,14.4,5.48,2.25,415.0,24.29,12.85
405.2,0.7252,0.3922,0.5562,0.6203,32.8,11.4,6.05,4.72,843.5,12.01,12.85
281.7,0.6809,0.5589,0.6176,0.6135,33.2,11.9,9.28,1.79,598.4,39.54,12.85
304.6,0.8801,0.4061,0.6584,0.8623,24.1,9.7,9.31,1.36,370.0,38.45,12.85
414.1,0.8876,0.5426,0.6144,0.9902,27.1,8.6,5.44,0.93,626.6,24.4,12.85
388.9,0.8134,0.3666,0.5286,0.8509,27.2,7.8,5.07,0.68,592.2,23.45,12.85
440.8,0.6651,0.4545,0.3523,0.5804,24.1,13.4,5.72,0.65,534.2,46.5,12.85
391.0,0.7989,0.2589,0.3827,0.7377,33.2,8.8,9.48,1.52,828.0,33.02,12.85
367.8,0.7489,0.2321,0.476,0.6712,31.9,13.2,5.81,2.09,731.9,24.86,12.85
244.4,0.9057,0.4846,0.4024,1.0228,24.7,10.5,7.26,1.7,309.5,28.25,12.44
315.6,0.8447,0.2159,0.3572,0.7992,27.1,10.7,8.82,0.33,477.6,71.13,12.85
289.0,0.5986,0.3546,0.2465,0.4698,23.5,11.2,5.09,1.02,331.8,28.26,12.55
283.4,0.5723,0.1124,0.3529,0.4271,30.8,10.3,7.72,2.35,532.7,23.74,11.94
473.0,0.8975,0.5409,0.5755,0.9213,23.7,7.9,6.25,0.97,553.4,25.09,12.85
322.2,0.662,0.3286,0.6745,0.5771,35.8,9.8,8.88,1.15,766.9,40.35,12.85
451.9,0.7761,0.4724,0.478,0.7903,32.9,13.0,6.28,2.21,945.9,25.35,12.85
384.1,0.6307,0.3545,0.587,0.5056,27.5,13.0,8.09,1.62,593.9,40.06,12.85
426.7,0.7653,0.3171,0.5372,0.6969,30.1,9.6,8.03,0.79,772.2,42.98,12.85
350.7,0.7988,0.4028,0.5357,0.8235,34.8,11.1,6.0,3.39,798.1,15.23,12.85
370.0,0.8059,0.6404,0.5275,0.8381,29.8,8.7,5.16,0.27,657.0,35.6,12.85
348.1,0.7118,0.4892,0.4167,0.6263,24.4,8.9,6.84,8.11,433.1,6.68,12.85
270.8,0.8589,0.3142,0.616,0.8544,27.3,7.2,6.3,0.19,414.3,38.17,12.65
407.8,0.8786,0.2823,0.4841,0.844,33.8,15.1,8.64,0.02,889.3,127.34,12.85
293.0,0.8528,0.3582,0.5295,0.943,31.0,8.9,8.6,3.31,557.3,17.75,12.71
226.3,0.6507,0.1873,0.2006,0.5113,31.1,9.0,7.06,0.42,432.5,44.92,10.38
387.8,0.8757,0.3624,0.495,0.9888,34.1,9.5,7.73,1.96,858.5,24.83,12.85
266.0,0.7517,0.3752,0.3841,0.7285,34.5,8.1,7.72,2.5,599.0,17.97,12.43
464.5,0.6665,0.4731,0.3979,0.589,34.9,12.8,8.72,2.94,1062.7,28.24,12.85
468.0,0.8291,0.4126,0.3066,0.6947,23.3,7.7,6.91,7.17,530.2,6.5,12.85
457.9,0.7244,0.298,0.6073,0.6575,29.6,8.2,6.24,0.52,806.7,33.64,12.85
316.2,0.7717,0.3212,0.3987,0.711,32.4,12.8,6.19,1.86,644.1,27.74,12.85
224.0,0.6169,0.4818,0.3403,0.4823,32.6,10.1,7.41,0.18,461.4,62.97,11.53
461.4,0.864,0.4787,0.4813,0.9091,30.5,13.4,7.02,0.78,853.2,52.64,12.85
331.3,0.7781,0.3686,0.5779,0.8119,24.3,12.0,6.98,2.83,408.7,21.93,12.85
471.3,0.6997,0.4094,0.4873,0.6367,33.2,9.3,5.41,0.69,997.5,29.83,12.85
470.5,0.6994,0.4665,0.5915,0.6557,32.1,12.9,8.23,1.34,944.9,45.21,12.85
441.8,0.645,0.2741,0.3506,0.4968,23.2,8.0,5.96,1.05,495.1,23.39,12.85
296.6,0.7592,0.4803,0.5931,0.6955,28.5,11.8,5.89,1.56,489.1,27.22,12.85
320.1,0.6747,0.3266,0.2561,0.5366,24.4,10.9,6.86,5.41,398.1,11.69,12.73
441.3,0.7006,0.4658,0.635,0.6445,26.7,9.4,6.03,0.09,649.8,52.21,12.85
302.4,0.7991,0.639,0.7232,0.8441,22.3,12.4,7.63,1.28,310.1,41.61,12.85
264.1,0.9015,0.3509,0.5427,0.9798,27.6,14.8,6.67,2.98,412.1,24.87,12.85
364.8,0.5791,0.2932,0.2964,0.4325,29.7,16.0,7.02,0.98,645.6,56.55,12.85
463.4,0.7012,0.2501,0.473,0.6081,30.7,12.5,7.42,0.12,865.4,82.39,12.85
401.0,0.7341,0.2987,0.5847,0.6826,31.3,10.6,5.92,1.23,773.4,28.19,12.85
368.2,0.8327,0.4754,0.4377,0.7995,33.7,9.0,5.7,0.61,799.3,32.06,12.85
245.3,0.7713,0.4216,0.6066,0.7814,25.0,9.3,8.96,0.25,319.2,66.64,12.18
379.9,0.8256,0.4741,0.4102,0.8714,23.7,11.3,6.95,2.84,444.0,20.51,12.85
477.4,0.7478,0.3064,0.3668,0.7118,33.9,10.3,6.85,1.11,1046.6,33.54,12.85
256.4,0.8611,0.4663,0.4516,0.8362,24.2,15.2,5.16,4.06,312.6,15.52,11.73
354.8,0.6916,0.263,0.4944,0.5801,35.6,10.3,7.24,2.46,838.9,21.59,12.85
448.1,0.5693,0.2336,0.277,0.427,33.8,10.4,7.49,1.77,976.7,28.02,12.85
412.6,0.877,0.4298,0.6601,0.8563,29.0,10.5,7.51,0.01,701.9,77.95,12.85
